# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.699494207826607,1.6928222765751755,2.784188288106825,150.16598157946046,-2.0984826234798213,-3.0,0.43632254418307315,0.0,-52.66400982969609,0.0
 0.7068900654997325,1.7063035796982167,2.7763345737467975,149.77648605826394,-2.120670196499198,-2.999999999999985,0.42859666723096657,0.0,-52.27477130856356,0.0
 0.7142295697084509,1.7197692947217087,2.768368692734569,149.39281515423494,-2.142688709125353,-3.0,0.42105663967836904,0.0,-51.88488655253976,0.0
 0.7215141367797635,1.7332187645124364,2.760292181599622,149.01485621815553,-2.1645424103392905,-2.9999999999999694,0.4136989829223262,0.0,-51.49493395088997,0.0
 0.7287451023173773,1.746651331937184,2.752106576871439,148.64249812539495,-2.186235306952132,-3.0000000000000155,0.406520198919153,0.0,-51.10544953963917,0.0
 0.7359237265049063,1.7600663398627363,2.7438134150795017,148.27563130921513,-2.2077711795147192,-3.0000000000000155,0.3995167805259401,0.0,-50.71692974359063,0.0
 0.7430511989848397,1.773463131155878,2.7354142327532927,147.91414778820098,-2.2291535969545193,-2.9999999999999845,0.39268522069112644,0.0,-50.329833954007114,0.0
 0.7501286433536399,1.786841048683394,2.7269105664222932,147.55794118830056,-2.25038593006092,-3.0,0.38602202093219445,0.0,-49.94458695919996,0.0
 0.7571571213088566,1.8001994353120687,2.718303952615987,147.2069067598754,-2.27147136392657,-2.999999999999984,0.3795236987978656,0.0,-49.56158123674307,0.0
 0.7641376364802471,1.8135376339086868,2.7095959278638553,146.86094139013423,-2.2924129094407415,-3.000000000000016,0.3731867948473508,0.0,-49.18117910471163,0.0
 0.7710711379734586,1.8268549873400333,2.70078802869538,146.5199436113738,-2.313213413920376,-3.0,0.3670078786071684,0.0,-48.8037147563798,0.0
 0.7779585236518323,1.8401508384728924,2.6918817916400446,146.18381360530927,-2.333875570955497,-3.000000000000016,0.36098355409787497,0.0,-48.42949617104704,0.0
 0.7848006431792436,1.8534245301740493,2.68287875322733,145.85245320385468,-2.354401929537731,-3.0,0.3551104646617599,0.0,-48.05880691051513,0.0
 0.7915983008445527,1.866675405310288,2.673780449986719,145.52576588667378,-2.3747949025336585,-3.0000000000000164,0.3493852972169977,0.0,-47.691907816779896,0.0
 0.7983522581861886,1.8799028067483938,2.6645884184476936,145.20365677573804,-2.395056774558566,-2.9999999999999836,0.3438047861100004,0.0,-47.32903860449603,0.0
 0.8050632364335533,1.8931060773551511,2.655304195139736,144.88603262719457,-2.4151897093006602,-3.0000000000000333,0.33836571628214607,0.0,-46.97041936007131,0.0
 0.8117319187803196,1.9062845599973446,2.6459293165923286,144.57280182078784,-2.4351957563409594,-3.0000000000000333,0.33306492630573925,0.0,-46.616251954649265,0.0
 0.8183589525032503,1.919437597541759,2.6364653193349534,144.26387434704776,-2.4550768575097517,-3.000000000000017,0.32789931069643213,0.0,-46.266721371519694,0.0
 0.824944950938883,1.9325645328551788,2.626913739897093,143.95916179247308,-2.4748348528166497,-3.0,0.322865822121189,0.0,-45.92199695504776,0.0
 0.8314904953292809,1.945664708804389,2.617276114808229,143.6585773229081,-2.4944714859878436,-3.0000000000000338,0.3179614731370885,0.0,-45.58223358665004,0.0
 0.8379961365470221,1.958737468256174,2.607553980597844,143.36203566529008,-2.513988409641067,-2.999999999999983,0.3131833376366317,0.0,-45.24757279044628,0.0
 0.8444623967086853,1.9717821540773186,2.5977488737954197,143.06945308794326,-2.5333871901260565,-2.999999999999966,0.30852855214659836,0.0,-44.91814377321219,0.0
